<TICKER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,Signal HA
USDJPY,20010103,193900,113.69,113.69,113.69,113.69,4,-1.0
USDJPY,20010103,194000,113.67,113.67,113.67,113.67,4,-1.0
USDJPY,20010103,194100,113.66,113.67,113.66,113.67,4,-1.0
USDJPY,20010103,194200,113.67,113.67,113.67,113.67,4,-1.0
USDJPY,20010103,194300,113.67,113.67,113.67,113.67,4,-1.0
USDJPY,20010103,194400,113.67,113.67,113.67,113.67,4,-1.0
USDJPY,20010103,194600,113.67,113.67,113.67,113.67,4,-1.0
USDJPY,20010103,194700,113.66,113.66,113.63,113.64,4,-1.0
USDJPY,20010103,194800,113.64,113.64,113.64,113.64,4,-1.0
USDJPY,20010103,194900,113.64,113.64,113.64,113.64,4,-1.0
USDJPY,20010103,195000,113.62,113.62,113.61,113.61,4,-1.0
USDJPY,20010103,195100,113.61,113.62,113.61,113.62,4,-1.0
USDJPY,20010103,195200,113.62,113.64,113.62,113.64,4,0.0
USDJPY,20010103,195300,113.64,113.65,113.63,113.65,4,1.0
USDJPY,20010103,195400,113.65,113.65,113.65,113.65,4,1.0
USDJPY,20010103,195500,113.65,113.65,113.65,113.65,4,1.0
USDJPY,20010103,195600,113.65,113.65,113.64,113.64,4,0.0
USDJPY,20010103,195700,113.63,113.63,113.62,113.62,4,-1.0
USDJPY,20010103,195800,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,195900,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,200000,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,200100,113.61,113.64,113.61,113.62,4,0.0
USDJPY,20010103,200200,113.62,113.62,113.61,113.61,4,0.0
USDJPY,20010103,200300,113.61,113.62,113.61,113.62,4,0.0
USDJPY,20010103,200400,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,200800,113.61,113.63,113.61,113.62,4,0.0
USDJPY,20010103,201100,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,201200,113.65,113.65,113.65,113.65,4,1.0
USDJPY,20010103,201300,113.65,113.65,113.65,113.65,4,1.0
USDJPY,20010103,201400,113.67,113.67,113.67,113.67,4,1.0
USDJPY,20010103,201500,113.67,113.67,113.67,113.67,4,1.0
USDJPY,20010103,201600,113.67,113.67,113.67,113.67,4,1.0
USDJPY,20010103,201800,113.67,113.67,113.67,113.67,4,1.0
USDJPY,20010103,201900,113.67,113.67,113.67,113.67,4,1.0
USDJPY,20010103,202100,113.67,113.67,113.67,113.67,4,1.0
USDJPY,20010103,202200,113.67,113.67,113.67,113.67,4,1.0
USDJPY,20010103,202300,113.65,113.65,113.64,113.64,4,-1.0
USDJPY,20010103,202400,113.65,113.65,113.65,113.65,4,-1.0
USDJPY,20010103,202500,113.64,113.64,113.64,113.64,4,-1.0
USDJPY,20010103,202600,113.64,113.64,113.62,113.62,4,-1.0
USDJPY,20010103,202700,113.61,113.62,113.61,113.62,4,-1.0
USDJPY,20010103,202800,113.63,113.63,113.63,113.63,4,1.0
USDJPY,20010103,202900,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,203300,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,203500,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,203600,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,203700,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,203800,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,203900,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,204000,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,204100,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,204300,113.64,113.64,113.63,113.64,4,1.0
USDJPY,20010103,204400,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,204600,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,204700,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,204900,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,205000,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,205100,113.62,113.62,113.61,113.61,4,-1.0
USDJPY,20010103,205200,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,205300,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,205400,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,205500,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,205700,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,205900,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,210000,113.61,113.61,113.6,113.6,4,-1.0
USDJPY,20010103,210100,113.6,113.6,113.6,113.6,4,-1.0
USDJPY,20010103,210200,113.6,113.6,113.6,113.6,4,-1.0
USDJPY,20010103,210300,113.6,113.6,113.6,113.6,4,-1.0
USDJPY,20010103,210400,113.6,113.6,113.6,113.6,4,-1.0
USDJPY,20010103,210500,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,210600,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,210700,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,210800,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,210900,113.61,113.61,113.6,113.6,4,0.0
USDJPY,20010103,211000,113.6,113.61,113.6,113.61,4,0.0
USDJPY,20010103,211100,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,211200,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,211300,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,211400,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,211500,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,211600,113.61,113.61,113.61,113.61,4,1.0
USDJPY,20010103,211700,113.61,113.63,113.61,113.63,4,1.0
USDJPY,20010103,211800,113.62,113.63,113.62,113.63,4,1.0
USDJPY,20010103,211900,113.63,113.63,113.62,113.62,4,1.0
USDJPY,20010103,212000,113.62,113.62,113.61,113.62,4,0.0
USDJPY,20010103,212100,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,212200,113.63,113.64,113.63,113.64,4,1.0
USDJPY,20010103,212300,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,212400,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,212500,113.64,113.64,113.62,113.62,4,0.0
USDJPY,20010103,212700,113.62,113.62,113.62,113.62,4,-1.0
USDJPY,20010103,212800,113.62,113.62,113.62,113.62,4,-1.0
USDJPY,20010103,212900,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,213000,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,213100,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,213400,113.61,113.62,113.61,113.62,4,0.0
USDJPY,20010103,213500,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,213600,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,213700,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,213800,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,213900,113.62,113.63,113.62,113.63,4,1.0
USDJPY,20010103,214000,113.62,113.62,113.61,113.61,4,-1.0
USDJPY,20010103,214200,113.61,113.61,113.61,113.61,4,-1.0
USDJPY,20010103,214400,113.6,113.61,113.6,113.61,4,-1.0
USDJPY,20010103,214500,113.6,113.6,113.59,113.59,4,-1.0
USDJPY,20010103,214600,113.59,113.59,113.59,113.59,4,-1.0
USDJPY,20010103,214700,113.59,113.6,113.59,113.6,4,0.0
USDJPY,20010103,214800,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,214900,113.59,113.6,113.59,113.6,4,0.0
USDJPY,20010103,215000,113.6,113.61,113.6,113.6,4,0.0
USDJPY,20010103,215100,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,215200,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,215300,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,215400,113.6,113.6,113.59,113.59,4,0.0
USDJPY,20010103,215600,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,215700,113.59,113.6,113.59,113.6,4,0.0
USDJPY,20010103,215800,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,215900,113.6,113.61,113.6,113.61,4,1.0
USDJPY,20010103,220000,113.61,113.61,113.59,113.6,4,0.0
USDJPY,20010103,220100,113.6,113.6,113.6,113.6,4,-1.0
USDJPY,20010103,220200,113.61,113.61,113.6,113.6,4,0.0
USDJPY,20010103,220300,113.59,113.59,113.59,113.59,4,-1.0
USDJPY,20010103,220400,113.59,113.59,113.58,113.58,4,-1.0
USDJPY,20010103,220500,113.59,113.6,113.59,113.59,4,0.0
USDJPY,20010103,220600,113.59,113.59,113.57,113.57,4,-1.0
USDJPY,20010103,220700,113.58,113.58,113.56,113.56,4,-1.0
USDJPY,20010103,220800,113.56,113.56,113.56,113.56,4,-1.0
USDJPY,20010103,220900,113.57,113.57,113.55,113.56,4,0.0
USDJPY,20010103,221000,113.56,113.56,113.55,113.55,4,-1.0
USDJPY,20010103,221100,113.56,113.56,113.56,113.56,4,-1.0
USDJPY,20010103,221200,113.56,113.56,113.55,113.55,4,-1.0
USDJPY,20010103,221300,113.55,113.55,113.54,113.55,4,-1.0
USDJPY,20010103,221400,113.55,113.56,113.54,113.54,4,0.0
USDJPY,20010103,221500,113.54,113.54,113.54,113.54,4,-1.0
USDJPY,20010103,221600,113.55,113.55,113.54,113.55,4,0.0
USDJPY,20010103,221700,113.55,113.56,113.55,113.56,4,1.0
USDJPY,20010103,221800,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,221900,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,222000,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,222100,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,222200,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,222300,113.54,113.54,113.54,113.54,4,-1.0
USDJPY,20010103,222400,113.54,113.54,113.54,113.54,4,-1.0
USDJPY,20010103,222700,113.54,113.54,113.54,113.54,4,-1.0
USDJPY,20010103,222900,113.54,113.54,113.54,113.54,4,-1.0
USDJPY,20010103,223000,113.55,113.55,113.55,113.55,4,1.0
USDJPY,20010103,223100,113.55,113.55,113.55,113.55,4,1.0
USDJPY,20010103,223300,113.55,113.55,113.55,113.55,4,1.0
USDJPY,20010103,223400,113.55,113.56,113.55,113.56,4,1.0
USDJPY,20010103,223500,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,223600,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,223700,113.56,113.56,113.56,113.56,4,1.0
USDJPY,20010103,224000,113.57,113.57,113.56,113.56,4,1.0
USDJPY,20010103,224100,113.56,113.57,113.56,113.57,4,0.0
USDJPY,20010103,224200,113.57,113.58,113.57,113.57,4,1.0
USDJPY,20010103,224300,113.57,113.57,113.56,113.56,4,0.0
USDJPY,20010103,224400,113.56,113.56,113.56,113.56,4,-1.0
USDJPY,20010103,224500,113.56,113.56,113.56,113.56,4,-1.0
USDJPY,20010103,224600,113.56,113.56,113.56,113.56,4,-1.0
USDJPY,20010103,224700,113.56,113.6,113.56,113.6,4,0.0
USDJPY,20010103,224800,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,224900,113.6,113.6,113.6,113.6,4,1.0
USDJPY,20010103,225000,113.6,113.61,113.6,113.61,4,1.0
USDJPY,20010103,225100,113.62,113.62,113.61,113.61,4,1.0
USDJPY,20010103,225200,113.61,113.62,113.61,113.62,4,1.0
USDJPY,20010103,225300,113.62,113.62,113.62,113.62,4,1.0
USDJPY,20010103,225400,113.63,113.63,113.63,113.63,4,1.0
USDJPY,20010103,225500,113.63,113.64,113.63,113.64,4,1.0
USDJPY,20010103,225600,113.64,113.64,113.63,113.64,4,1.0
USDJPY,20010103,225700,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,225800,113.64,113.64,113.64,113.64,4,1.0
USDJPY,20010103,225900,113.64,113.65,113.64,113.65,4,1.0
USDJPY,20010103,230000,113.66,113.71,113.66,113.7,4,1.0
USDJPY,20010103,230100,113.7,113.7,113.7,113.7,4,1.0
USDJPY,20010103,230200,113.7,113.72,113.69,113.72,4,1.0
USDJPY,20010103,230300,113.72,113.72,113.72,113.72,4,1.0
USDJPY,20010103,230400,113.72,113.72,113.72,113.72,4,1.0
USDJPY,20010103,230500,113.72,113.72,113.72,113.72,4,1.0
USDJPY,20010103,230600,113.72,113.72,113.72,113.72,4,1.0
USDJPY,20010103,230700,113.72,113.72,113.7,113.7,4,0.0
USDJPY,20010103,230800,113.7,113.71,113.7,113.71,4,-1.0
USDJPY,20010103,230900,113.71,113.71,113.71,113.71,4,1.0
USDJPY,20010103,231000,113.71,113.71,113.71,113.71,4,1.0
USDJPY,20010103,231100,113.73,113.74,113.73,113.74,4,1.0
USDJPY,20010103,231200,113.73,113.74,113.72,113.72,4,0.0
USDJPY,20010103,231300,113.72,113.72,113.72,113.72,4,-1.0
USDJPY,20010103,231400,113.72,113.74,113.72,113.73,4,0.0
USDJPY,20010103,231500,113.74,113.74,113.74,113.74,4,1.0
USDJPY,20010103,231600,113.74,113.74,113.74,113.74,4,1.0
USDJPY,20010103,231700,113.74,113.75,113.74,113.75,4,1.0
USDJPY,20010103,231800,113.75,113.75,113.75,113.75,4,1.0
USDJPY,20010103,231900,113.75,113.75,113.75,113.75,4,1.0
USDJPY,20010103,232000,113.75,113.76,113.75,113.76,4,1.0
USDJPY,20010103,232100,113.76,113.76,113.76,113.76,4,1.0
USDJPY,20010103,232200,113.76,113.76,113.76,113.76,4,1.0
USDJPY,20010103,232300,113.76,113.78,113.76,113.78,4,1.0
USDJPY,20010103,232400,113.78,113.78,113.78,113.78,4,1.0
USDJPY,20010103,232500,113.78,113.78,113.78,113.78,4,1.0
USDJPY,20010103,232600,113.78,113.78,113.78,113.78,4,1.0
USDJPY,20010103,232700,113.79,113.82,113.79,113.82,4,1.0
USDJPY,20010103,232800,113.82,113.82,113.8,113.82,4,1.0
USDJPY,20010103,232900,113.83,113.83,113.83,113.83,4,1.0
USDJPY,20010103,233000,113.83,113.83,113.83,113.83,4,1.0
USDJPY,20010103,233100,113.84,113.84,113.83,113.84,4,1.0
USDJPY,20010103,233200,113.84,113.87,113.84,113.86,4,1.0
USDJPY,20010103,233300,113.86,113.86,113.86,113.86,4,1.0
USDJPY,20010103,233400,113.86,113.86,113.86,113.86,4,1.0
USDJPY,20010103,233500,113.86,113.86,113.86,113.86,4,1.0
USDJPY,20010103,233600,113.84,113.84,113.83,113.83,4,-1.0
USDJPY,20010103,233900,113.83,113.83,113.81,113.81,4,-1.0
USDJPY,20010103,234000,113.82,113.82,113.82,113.82,4,-1.0
USDJPY,20010103,234100,113.82,113.83,113.82,113.83,4,0.0
USDJPY,20010103,234200,113.83,113.83,113.83,113.83,4,1.0
USDJPY,20010103,234300,113.83,113.83,113.83,113.83,4,1.0
USDJPY,20010103,234400,113.83,113.85,113.83,113.84,4,0.0
USDJPY,20010103,234500,113.84,113.86,113.84,113.86,4,1.0
USDJPY,20010103,234600,113.87,113.87,113.85,113.85,4,1.0
USDJPY,20010103,234700,113.84,113.84,113.84,113.84,4,-1.0
USDJPY,20010103,234800,113.84,113.87,113.84,113.87,4,0.0
USDJPY,20010103,234900,113.88,113.9,113.88,113.89,4,1.0
USDJPY,20010103,235000,113.89,113.89,113.89,113.89,4,1.0
USDJPY,20010103,235100,113.89,113.91,113.89,113.91,4,1.0
USDJPY,20010103,235200,113.91,113.91,113.91,113.91,4,1.0
USDJPY,20010103,235300,113.92,113.94,113.92,113.94,4,1.0
USDJPY,20010103,235400,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010103,235500,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010103,235600,113.92,113.92,113.9,113.9,4,-1.0
USDJPY,20010103,235700,113.9,113.91,113.9,113.91,4,-1.0
USDJPY,20010103,235800,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010103,235900,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,0,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,100,113.86,113.86,113.84,113.84,4,-1.0
USDJPY,20010104,200,113.84,113.84,113.84,113.84,4,-1.0
USDJPY,20010104,300,113.84,113.84,113.84,113.84,4,-1.0
USDJPY,20010104,400,113.84,113.84,113.83,113.83,4,-1.0
USDJPY,20010104,500,113.83,113.83,113.83,113.83,4,-1.0
USDJPY,20010104,600,113.84,113.89,113.84,113.87,4,0.0
USDJPY,20010104,700,113.87,113.87,113.87,113.87,4,1.0
USDJPY,20010104,800,113.87,113.87,113.87,113.87,4,1.0
USDJPY,20010104,900,113.87,113.87,113.85,113.86,4,0.0
USDJPY,20010104,1000,113.86,113.86,113.86,113.86,4,-1.0
USDJPY,20010104,1100,113.86,113.86,113.86,113.86,4,-1.0
USDJPY,20010104,1200,113.86,113.89,113.86,113.89,4,0.0
USDJPY,20010104,1300,113.89,113.9,113.89,113.9,4,1.0
USDJPY,20010104,1400,113.91,113.92,113.9,113.91,4,1.0
USDJPY,20010104,1500,113.9,113.9,113.89,113.89,4,0.0
USDJPY,20010104,1600,113.89,113.92,113.89,113.92,4,0.0
USDJPY,20010104,1700,113.92,113.94,113.92,113.94,4,1.0
USDJPY,20010104,1800,113.94,113.96,113.94,113.94,4,1.0
USDJPY,20010104,1900,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010104,2000,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010104,2100,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010104,2200,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010104,2300,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010104,2400,113.94,113.96,113.94,113.96,4,1.0
USDJPY,20010104,2500,113.96,113.96,113.96,113.96,4,1.0
USDJPY,20010104,2600,113.96,113.97,113.96,113.96,4,1.0
USDJPY,20010104,2700,113.96,113.97,113.96,113.96,4,0.0
USDJPY,20010104,2800,113.96,113.96,113.96,113.96,4,1.0
USDJPY,20010104,2900,113.96,113.97,113.96,113.97,4,1.0
USDJPY,20010104,3000,113.96,113.96,113.94,113.94,4,-1.0
USDJPY,20010104,3100,113.95,113.96,113.95,113.96,4,0.0
USDJPY,20010104,3200,113.97,113.98,113.97,113.98,4,1.0
USDJPY,20010104,3300,113.99,114.01,113.99,114.01,4,1.0
USDJPY,20010104,3400,114.01,114.01,113.98,113.98,4,0.0
USDJPY,20010104,3500,113.98,113.98,113.97,113.97,4,-1.0
USDJPY,20010104,3600,113.97,113.97,113.95,113.95,4,-1.0
USDJPY,20010104,3700,113.95,113.96,113.95,113.96,4,-1.0
USDJPY,20010104,3800,113.96,114.05,113.96,114.05,4,0.0
USDJPY,20010104,3900,114.05,114.06,114.05,114.06,4,1.0
USDJPY,20010104,4000,114.06,114.06,114.06,114.06,4,1.0
USDJPY,20010104,4100,114.06,114.06,114.06,114.06,4,1.0
USDJPY,20010104,4200,114.06,114.06,114.06,114.06,4,1.0
USDJPY,20010104,4300,114.06,114.06,114.06,114.06,4,1.0
USDJPY,20010104,4400,114.06,114.06,114.06,114.06,4,1.0
USDJPY,20010104,4500,114.06,114.06,114.06,114.06,4,1.0
USDJPY,20010104,4600,114.06,114.06,114.06,114.06,4,1.0
USDJPY,20010104,4700,114.06,114.06,114.05,114.05,4,0.0
USDJPY,20010104,4800,114.05,114.05,114.05,114.05,4,-1.0
USDJPY,20010104,4900,114.05,114.05,114.04,114.04,4,-1.0
USDJPY,20010104,5000,114.04,114.04,114.01,114.01,4,-1.0
USDJPY,20010104,5100,114.02,114.03,114.01,114.01,4,-1.0
USDJPY,20010104,5200,114.01,114.01,114.01,114.01,4,-1.0
USDJPY,20010104,5300,114.01,114.01,114.01,114.01,4,-1.0
USDJPY,20010104,5400,114.02,114.02,114.0,114.0,4,0.0
USDJPY,20010104,5500,114.0,114.0,114.0,114.0,4,-1.0
USDJPY,20010104,5600,114.0,114.0,114.0,114.0,4,-1.0
USDJPY,20010104,5700,114.0,114.0,114.0,114.0,4,-1.0
USDJPY,20010104,5800,113.98,113.98,113.96,113.97,4,-1.0
USDJPY,20010104,5900,113.98,113.99,113.97,113.99,4,0.0
USDJPY,20010104,10000,113.99,113.99,113.98,113.98,4,0.0
USDJPY,20010104,10100,113.97,113.97,113.97,113.97,4,-1.0
USDJPY,20010104,10200,113.96,113.97,113.96,113.97,4,-1.0
USDJPY,20010104,10300,113.97,113.97,113.97,113.97,4,-1.0
USDJPY,20010104,10400,113.96,113.96,113.95,113.95,4,-1.0
USDJPY,20010104,10500,113.95,113.95,113.94,113.94,4,-1.0
USDJPY,20010104,10600,113.94,113.94,113.94,113.94,4,-1.0
USDJPY,20010104,10700,113.94,113.94,113.92,113.92,4,-1.0
USDJPY,20010104,10800,113.92,113.92,113.92,113.92,4,-1.0
USDJPY,20010104,10900,113.92,113.92,113.92,113.92,4,-1.0
USDJPY,20010104,11000,113.92,113.96,113.92,113.96,4,0.0
USDJPY,20010104,11100,113.97,113.97,113.95,113.95,4,1.0
USDJPY,20010104,11200,113.94,113.94,113.94,113.94,4,-1.0
USDJPY,20010104,11300,113.94,113.94,113.94,113.94,4,-1.0
USDJPY,20010104,11400,113.94,113.94,113.92,113.92,4,-1.0
USDJPY,20010104,11500,113.91,113.91,113.89,113.89,4,-1.0
USDJPY,20010104,11600,113.89,113.92,113.89,113.91,4,0.0
USDJPY,20010104,11700,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,11800,113.9,113.92,113.9,113.92,4,0.0
USDJPY,20010104,11900,113.92,113.92,113.92,113.92,4,1.0
USDJPY,20010104,12000,113.92,113.94,113.92,113.94,4,1.0
USDJPY,20010104,12100,113.94,113.94,113.94,113.94,4,1.0
USDJPY,20010104,12200,113.94,113.97,113.94,113.97,4,1.0
USDJPY,20010104,12300,113.97,114.01,113.97,114.01,4,1.0
USDJPY,20010104,12400,114.01,114.01,114.0,114.0,4,1.0
USDJPY,20010104,12500,114.0,114.0,113.99,113.99,4,1.0
USDJPY,20010104,12600,113.99,114.0,113.99,114.0,4,0.0
USDJPY,20010104,12700,114.0,114.0,114.0,114.0,4,1.0
USDJPY,20010104,12800,114.0,114.0,113.98,113.98,4,0.0
USDJPY,20010104,12900,113.97,113.98,113.95,113.95,4,-1.0
USDJPY,20010104,13000,113.95,113.95,113.94,113.94,4,-1.0
USDJPY,20010104,13100,113.94,113.94,113.91,113.92,4,-1.0
USDJPY,20010104,13200,113.92,113.92,113.89,113.89,4,-1.0
USDJPY,20010104,13300,113.89,113.9,113.89,113.9,4,-1.0
USDJPY,20010104,13400,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,13500,113.9,113.91,113.9,113.91,4,0.0
USDJPY,20010104,13600,113.92,113.92,113.92,113.92,4,1.0
USDJPY,20010104,13700,113.92,113.92,113.9,113.9,4,0.0
USDJPY,20010104,13800,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,13900,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,14000,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,14100,113.9,113.91,113.9,113.9,4,0.0
USDJPY,20010104,14200,113.91,113.92,113.91,113.92,4,1.0
USDJPY,20010104,14300,113.92,113.92,113.9,113.92,4,0.0
USDJPY,20010104,14400,113.92,113.92,113.91,113.91,4,0.0
USDJPY,20010104,14500,113.9,113.93,113.89,113.93,4,0.0
USDJPY,20010104,14600,113.94,113.94,113.93,113.94,4,1.0
USDJPY,20010104,14700,113.93,113.93,113.9,113.9,4,0.0
USDJPY,20010104,14800,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,14900,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,15000,113.9,113.9,113.9,113.9,4,-1.0
USDJPY,20010104,15100,113.9,113.9,113.86,113.86,4,-1.0
USDJPY,20010104,15200,113.87,113.87,113.86,113.86,4,-1.0
USDJPY,20010104,15300,113.87,113.89,113.87,113.89,4,0.0
USDJPY,20010104,15400,113.89,113.89,113.89,113.89,4,1.0
USDJPY,20010104,15500,113.9,113.9,113.9,113.9,4,1.0
USDJPY,20010104,15600,113.9,113.9,113.9,113.9,4,1.0
USDJPY,20010104,15700,113.9,113.9,113.89,113.89,4,0.0
USDJPY,20010104,15800,113.89,113.89,113.89,113.89,4,-1.0
USDJPY,20010104,15900,113.88,113.88,113.85,113.86,4,-1.0
USDJPY,20010104,20000,113.86,113.86,113.86,113.86,4,-1.0
USDJPY,20010104,20100,113.86,113.86,113.85,113.86,4,-1.0
USDJPY,20010104,20200,113.85,113.85,113.84,113.84,4,-1.0
USDJPY,20010104,20300,113.84,113.84,113.84,113.84,4,-1.0
USDJPY,20010104,20400,113.84,113.84,113.81,113.83,4,0.0
USDJPY,20010104,20500,113.83,113.85,113.83,113.85,4,0.0
USDJPY,20010104,20600,113.86,113.86,113.86,113.86,4,1.0
USDJPY,20010104,20700,113.85,113.85,113.85,113.85,4,1.0
USDJPY,20010104,20800,113.86,113.86,113.84,113.84,4,0.0
USDJPY,20010104,20900,113.85,113.85,113.85,113.85,4,1.0
USDJPY,20010104,21000,113.84,113.84,113.83,113.83,4,-1.0
USDJPY,20010104,21100,113.83,113.84,113.83,113.83,4,-1.0
USDJPY,20010104,21200,113.83,113.83,113.83,113.83,4,-1.0
USDJPY,20010104,21300,113.83,113.83,113.83,113.83,4,-1.0
USDJPY,20010104,21400,113.83,113.83,113.83,113.83,4,-1.0
USDJPY,20010104,21500,113.82,113.82,113.81,113.81,4,-1.0
USDJPY,20010104,21600,113.81,113.81,113.81,113.81,4,-1.0
USDJPY,20010104,21700,113.81,113.81,113.81,113.81,4,-1.0
USDJPY,20010104,21800,113.81,113.81,113.81,113.81,4,-1.0
USDJPY,20010104,21900,113.81,113.82,113.81,113.82,4,0.0
USDJPY,20010104,22000,113.82,113.82,113.81,113.81,4,0.0
USDJPY,20010104,22100,113.81,113.81,113.81,113.81,4,-1.0
USDJPY,20010104,22200,113.81,113.81,113.81,113.81,4,-1.0
USDJPY,20010104,22300,113.81,113.81,113.81,113.81,4,-1.0
USDJPY,20010104,22400,113.81,113.81,113.81,113.81,4,-1.0
USDJPY,20010104,22500,113.81,113.81,113.8,113.8,4,-1.0
USDJPY,20010104,22600,113.8,113.81,113.78,113.79,4,0.0
USDJPY,20010104,22700,113.8,113.81,113.8,113.81,4,0.0
USDJPY,20010104,22800,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,22900,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,23000,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,23100,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,23200,113.81,113.81,113.8,113.8,4,0.0
USDJPY,20010104,23300,113.81,113.81,113.79,113.79,4,0.0
USDJPY,20010104,23400,113.79,113.81,113.79,113.81,4,0.0
USDJPY,20010104,23500,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,23600,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,23700,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,23800,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,23900,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,24000,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,24100,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,24200,113.81,113.81,113.81,113.81,4,1.0
USDJPY,20010104,24300,113.81,113.81,113.81,113.81,4,1.0
